Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
16466,1.765958102,0.061706405,0.061706405
16467,1.757758332,0.05997952,0.05997952
16468,1.839354985,0.068457664,0.068457664
16469,1.84764556,0.069076722,0.069076722
16470,1.829016429,0.069622715,0.069622715
16471,1.78467287,0.064878073,0.064878073
16472,1.864305357,0.074946593,0.074946593
16473,1.879998514,0.078499318,0.078499318
16474,1.843877207,0.078197336,0.078197336
16475,1.825266722,0.0772314,0.0772314
16476,1.861718853,0.085215363,0.085215363
16477,1.769778883,0.07824257,0.07824257
16478,1.814553856,0.087574551,0.087574551
16479,1.800103616,0.087288769,0.087288769
16480,1.805556431,0.089668262,0.089668262
16481,1.761378647,0.086252572,0.086252572
16482,1.722025917,0.081643622,0.081643622
16483,1.696541631,0.079351561,0.079351561
16484,1.717466598,0.080807321,0.080807321
16485,1.689149249,0.076769729,0.076769729
16486,1.704862002,0.077796529,0.077796529
16487,1.709458904,0.078729752,0.078729752
16488,1.70298074,0.078372093,0.078372093
16489,1.735665694,0.081539672,0.081539672
16490,1.745695432,0.081628477,0.081628477
16491,1.674186079,0.073705507,0.073705507
16492,1.688729841,0.074878748,0.074878748
16493,1.747205996,0.081971214,0.081971214
16494,1.784494194,0.083007311,0.083007311
16495,1.863475936,0.091465897,0.091465897
16496,1.85829543,0.089248662,0.089248662
16497,1.928194453,0.095271908,0.095271908
16498,2.103791372,0.115368358,0.115368358
16499,1.994214471,0.103595678,0.103595678
16500,1.934246656,0.097522357,0.097522357
16501,1.852508337,0.087229209,0.087229209
16502,1.863945595,0.085812862,0.085812862
16503,1.84284578,0.083036306,0.083036306
16504,1.878576807,0.087506144,0.087506144
16505,1.865956606,0.086309766,0.086309766
16506,1.839092373,0.081617873,0.081617873
16507,1.84607187,0.078011939,0.078011939
16508,1.8342488,0.077433678,0.077433678
16509,1.788276283,0.070882758,0.070882758
16510,1.754918847,0.066309,0.066309
16511,1.75495869,0.066193458,0.066193458
16512,1.703777321,0.060285474,0.060285474
16513,1.683514806,0.05893581,0.05893581
16514,1.647907643,0.054870653,0.054870653
16515,1.665404772,0.056053055,0.056053055
16516,1.587717268,0.048073923,0.048073923
16517,1.554693763,0.045501096,0.045501096
16518,1.598044558,0.050992141,0.050992141
16519,1.556717975,0.045976173,0.045976173
16520,1.556788269,0.045690446,0.045690446
16521,1.536301544,0.044909181,0.044909181
16522,1.55305008,0.047607353,0.047607353
16523,1.581048577,0.050920057,0.050920057
16524,1.571508436,0.051225179,0.051225179
16525,1.527509495,0.048976774,0.048976774
16526,1.537375137,0.050772637,0.050772637
16527,1.55318726,0.0537478,0.0537478
16528,1.625538214,0.063626031,0.063626031
16529,1.636154004,0.065309256,0.065309256
16530,1.637182643,0.065827823,0.065827823
16531,1.607148949,0.06265814,0.06265814
16532,1.677199164,0.069873052,0.069873052
16533,1.637782409,0.065566592,0.065566592
16534,1.624371921,0.066661381,0.066661381
16535,1.616920961,0.06837705,0.06837705
16536,1.665398672,0.076604835,0.076604835
16537,1.660740156,0.07696894,0.07696894
16538,1.685267891,0.083679651,0.083679651
16539,1.738806408,0.092279689,0.092279689
16540,1.797532968,0.099639878,0.099639878
16541,1.784258728,0.100340854,0.100340854
16542,1.781940959,0.096423694,0.096423694
16543,1.884071264,0.107640424,0.107640424
16544,1.99380759,0.120010892,0.120010892
16545,2.024992968,0.123296157,0.123296157
16546,2.08806726,0.130974478,0.130974478
16547,2.036879885,0.124709192,0.124709192
16548,1.999895849,0.118751999,0.118751999
16549,1.949199745,0.11275169,0.11275169
16550,1.899429833,0.105934347,0.105934347
16551,1.908389643,0.105297348,0.105297348
16552,1.914020951,0.101339511,0.101339511
16553,1.935858223,0.10033139,0.10033139
16554,1.916266926,0.097759022,0.097759022
16555,1.852365157,0.087997256,0.087997256
16556,1.85274666,0.091060706,0.091060706
16557,1.89168871,0.095360425,0.095360425
16558,1.811362872,0.082671554,0.082671554
16559,1.810904836,0.080837474,0.080837474
16560,1.825470376,0.080522039,0.080522039
16561,1.84025983,0.080243198,0.080243198
16562,1.854434657,0.078422528,0.078422528
16563,1.941678077,0.086331688,0.086331688
16564,2.14746086,0.098813887,0.098813887
16565,2.354141252,0.084295638,0.084295638
16566,2.325167535,0.075361824,0.075361824
16567,2.423376341,0.077020674,0.077020674
16568,2.458656957,0.083344389,0.083344389
16569,2.474659441,0.083811942,0.083811942
16570,2.42874633,0.088624464,0.088624464
16571,2.406592549,0.103279023,0.103279023
16572,2.389016701,0.104567506,0.104567506
16573,2.359619263,0.112906996,0.112906996
16574,2.337411972,0.118267151,0.118267151
16575,2.415659788,0.123143997,0.123143997
16576,2.398130928,0.119320852,0.119320852
16577,2.402380366,0.117097226,0.117097226
16578,2.301606363,0.113363759,0.113363759
16579,2.224830616,0.109616832,0.109616832
16580,2.16743208,0.106791599,0.106791599
16581,2.127949825,0.103570855,0.103570855
16582,2.108988187,0.106048323,0.106048323
16583,2.042033762,0.110463517,0.110463517
16584,1.979185215,0.12026896,0.12026896
16585,1.983886015,0.124441208,0.124441208
16586,1.956448817,0.127757738,0.127757738
16587,2.005049925,0.130289023,0.130289023
16588,2.096945811,0.135232226,0.135232226
16589,2.227087737,0.137116141,0.137116141
16590,2.380435457,0.142456117,0.142456117
16591,2.408114523,0.143028143,0.143028143
16592,2.385375777,0.143470996,0.143470996
16593,2.458618375,0.153851021,0.153851021
16594,2.469206511,0.159086878,0.159086878
16595,2.481632326,0.150783009,0.150783009
16596,2.48729839,0.1445234,0.1445234
16597,2.421241298,0.138024727,0.138024727
16598,2.37381554,0.128789875,0.128789875
16599,2.366661835,0.125699146,0.125699146
16600,2.331226682,0.121947831,0.121947831
16601,2.349214752,0.118998189,0.118998189
