Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,1,7,6,,8,-0.4,-1,87.4,1020.6,70,5,0,0,,,0,0,0,0,0,0
2003,1,7,7,,7,-0.5,-1.1,87.3,1020.2,70,7,0,0,,,0,0,0,0,0,0
2003,1,7,8,,2,-1.3,-1.8,87.9,1020.3,70,4,0,0,,,0,0,0,0,0,0
2003,1,7,9,,2,-1.9,-2.5,85.1,1020.3,80,1,0,0,,,0,0,0,0,0,0
2003,1,7,10,,7,-0.9,-1.6,84.6,1020.4,80,5,7.2,6.9,,,0,0,0,0,0,0
2003,1,7,11,,7,-0.3,-1.2,81.4,1020.6,80,7,16.4,16.1,,,0,0,0,0,0,0
2003,1,7,12,,7,0.4,-1.4,65.5,1020.4,90,8,51.4,50.6,,,0,0,0,0,0,0
2003,1,7,13,,7,0.8,-0.9,68.3,1019.6,100,10,73.1,60.6,,,0,0,0,0,0,0
2003,1,7,14,,6,0.8,-0.8,70.3,1019.4,100,13,131.7,116.1,,,0,0,0,0,0,0
2003,1,7,15,,5,1.2,-1,60.2,1018.7,90,11,121.9,95.3,,,0,0,0,0,0,0
2003,1,7,16,,5,0,-2.1,58.8,1018.9,90,14,76.7,52.5,,,0,0,0,0,0,0
2003,1,7,17,,1,-0.6,-2.4,62.9,1019,90,13,18.1,16.1,,,0,0,0,0,0,0
2003,1,7,18,,1,-1.1,-2.5,69.7,1018.7,80,11,0,0,,,0,0,0,0,0,0
2003,1,7,19,,1,-1.1,-2.6,67.7,1018.6,70,9,0,0,,,0,0,0,0,0,0
2003,1,7,20,,1,-1.4,-2.6,73.3,1018.6,50,8,0,0,,,0,0,0,0,0,0
2003,1,7,21,,0,-1.8,-2.8,76.8,1018.4,50,8,0,0,,,0,0,0,0,0,0
2003,1,7,22,,1,-1.7,-2.5,81.1,1018.3,70,4,0,0,,,0,0,0,0,0,0
2003,1,7,23,,0,-2,-3.2,72,1018,60,5,0,0,,,0,0,0,0,0,0
2003,1,7,24,,0,-2.4,-3.4,75.6,1017.9,50,5,0,0,,,0,0,0,0,0,0
2003,1,8,1,,0,-2.5,-3.5,75.4,1017.7,70,5,0,0,,,0,0,0,0,0,0
2003,1,8,2,,0,-2.8,-3.7,77.1,1017.6,60,6,0,0,,,0,0,0,0,0,0
2003,1,8,3,,0,-3,-4,74.3,1017.7,50,4,0,0,,,0,0,0,0,0,0
2003,1,8,4,,0,-4.3,-5.1,76.4,1017.6,30,4,0,0,,,0,0,0,0,0,0
