timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff
504,25.16,29.8,35.01,22.60030196
505,25.16,29.8,35.01,22.35091084
506,25.16,29.8,35.01,22.340588
507,25.16,29.8,16.04,18.2903075
508,25.16,29.8,16.04,11.48204208
509,25.16,29.8,16.04,9.386659821
510,25.16,29.8,16.04,23.99916854
511,25.16,29.8,16.04,17.55372665
512,25.16,29.8,16.04,23.42742835
513,25.16,29.8,35.01,18.32122168
514,25.16,29.8,35.01,14.15209927
515,25.16,29.8,35.01,20.90600535
516,25.16,29.8,35.01,24.91060227
517,25.16,29.8,35.01,16.45287652
518,25.16,29.8,35.01,15.71643889
519,25.16,29.8,35.01,23.53035342
520,25.16,29.8,35.01,18.90405498
521,25.16,29.8,35.01,20.20309267
522,25.16,29.8,35.01,14.75716754
523,25.16,29.8,35.01,28.33803035
524,25.16,29.8,35.01,14.04059171
525,25.16,29.8,35.01,5.029720877
526,25.16,29.8,35.01,14.60093843
527,25.16,29.8,35.01,19.39256049
528,25.16,14.6,16.04,10.70130205
529,25.16,14.6,16.04,9.58120554
530,25.16,14.6,16.04,14.29333691
531,25.16,14.6,16.04,9.193582936
532,25.16,14.6,16.04,20.11668508
533,25.16,14.6,16.04,19.62214328
534,25.16,14.6,16.04,19.02594581
535,25.16,14.6,16.04,13.69940482
536,25.16,14.6,16.04,9.585616933
537,25.16,14.6,16.04,9.065004978
538,25.16,14.6,16.04,16.65270114
539,25.16,14.6,16.04,22.06450319
540,25.16,14.6,16.04,23.1692266
541,25.16,14.6,16.04,30.51376286
542,25.16,29.8,35.01,29.31921198
543,25.16,29.8,35.01,27.02828298
544,25.16,29.8,35.01,22.57126082
545,25.16,29.8,35.01,18.31319035
546,25.16,29.8,35.01,29.83497957
547,25.16,29.8,35.01,28.23435763
548,25.16,29.8,35.01,22.99783411
549,25.16,29.8,35.01,28.78059736
550,25.16,29.8,35.01,17.10756312
551,25.16,29.8,35.01,23.46466866
552,25.16,29.8,35.01,21.70017945
553,25.16,29.8,35.01,21.46072105
554,25.16,29.8,35.01,21.45080934
555,25.16,29.8,16.04,17.561843
556,25.16,29.8,16.04,11.02473648
557,25.16,29.8,16.04,9.012808892
558,25.16,29.8,16.04,23.0433321
559,25.16,29.8,16.04,16.85459862
560,25.16,29.8,16.04,22.49436313
561,25.16,29.8,35.01,17.59152593
562,25.16,29.8,35.01,13.5884509
563,25.16,29.8,35.01,20.07336311
564,25.16,29.8,35.01,23.91846535
565,25.16,29.8,35.01,15.79759304
566,25.16,29.8,35.01,15.09048617
567,25.16,29.8,35.01,22.59318891
568,25.16,29.8,35.01,18.15114621
569,25.16,29.8,35.01,19.39844596
570,25.16,29.8,35.01,14.16942058
571,25.16,29.8,35.01,27.20938617
572,25.16,29.8,35.01,13.58156353
573,25.16,29.8,35.01,4.865284528
574,25.16,29.8,35.01,14.12359087
575,25.16,29.8,35.01,18.75856073
576,25.16,14.6,16.04,10.54789656
577,25.16,14.6,16.04,9.443856878
578,25.16,14.6,16.04,14.08843882
