timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
447,25.16,29.8,35.01,26.88210968,10.00
448,25.16,29.8,35.01,22.44919181,10.00
449,25.16,29.8,35.01,18.21414967,10.00
450,25.16,29.8,35.01,29.6736272,10.00
451,25.16,29.8,35.01,28.08166167,10.00
452,25.16,29.8,35.01,22.87345812,10.00
453,25.16,29.8,35.01,28.62494726,10.00
454,25.16,29.8,35.01,17.01504266,10.00
455,25.16,29.8,35.01,23.33776795,10.00
456,25.16,29.8,35.01,21.58282138,10.00
457,25.16,29.8,35.01,21.34465802,10.00
458,25.16,29.8,35.01,21.33479991,10.00
459,25.16,29.8,16.04,17.46686573,10.00
460,25.16,29.8,16.04,10.96511293,10.00
461,25.16,29.8,16.04,8.964066171,10.00
462,25.16,29.8,16.04,22.91871005,10.00
463,25.16,29.8,16.04,16.76344623,10.00
464,25.16,29.8,16.04,22.37270999,10.00
465,25.16,29.8,35.01,17.49638813,10.00
466,25.16,29.8,35.01,13.51496237,10.00
467,25.16,29.8,35.01,19.96480313,10.00
468,25.16,29.8,35.01,23.78911044,10.00
469,25.16,29.8,35.01,15.71215711,10.00
470,25.16,29.8,35.01,15.00887439,10.00
471,25.16,29.8,35.01,22.4710013,10.00
472,25.16,29.8,35.01,18.05298189,10.00
473,25.16,29.8,35.01,19.29353604,10.00
474,25.16,29.8,35.01,14.09279007,10.00
475,25.16,29.8,35.01,27.06223343,10.00
476,25.16,29.8,35.01,13.52171539,10.00
477,25.16,29.8,35.01,4.843845301,10.00
478,25.16,29.8,35.01,14.06135425,10.00
479,25.16,29.8,35.01,18.67589977,10.00
480,25.16,14.6,16.04,11.06298347,10.00
481,25.16,14.6,16.04,9.905030066,10.00
482,25.16,14.6,16.04,14.77642153,10.00
483,25.16,14.6,16.04,9.504306637,10.00
484,25.16,14.6,16.04,20.79658658,10.00
485,25.16,14.6,16.04,20.28533032,10.00
486,25.16,14.6,16.04,19.66898262,10.00
487,25.16,14.6,16.04,14.16241579,10.00
488,25.16,14.6,16.04,9.909590555,10.00
489,25.16,14.6,16.04,9.371383014,10.00
490,25.16,14.6,16.04,17.2155273,10.00
491,25.16,14.6,16.04,22.81023683,10.00
492,25.16,14.6,16.04,24.13028513,10.00
493,25.16,14.6,16.04,31.77947245,10.00
494,25.16,29.8,35.01,30.53537164,10.00
495,25.16,29.8,35.01,28.14941501,10.00
496,25.16,29.8,35.01,23.50751576,10.00
497,25.16,29.8,35.01,19.0728207,10.00
498,25.16,29.8,35.01,31.07253325,10.00
499,25.16,29.8,35.01,29.40551758,10.00
500,25.16,29.8,35.01,23.95178329,10.00
501,25.16,29.8,35.01,29.97441531,10.00
502,25.16,29.8,35.01,17.8171841,10.00
503,25.16,29.8,35.01,24.43798211,10.00
504,25.16,29.8,35.01,22.60030196,10.00
505,25.16,29.8,35.01,22.35091084,10.00
506,25.16,29.8,35.01,22.340588,10.00
507,25.16,29.8,16.04,18.2903075,10.00
508,25.16,29.8,16.04,11.48204208,10.00
509,25.16,29.8,16.04,9.386659821,10.00
510,25.16,29.8,16.04,23.99916854,10.00
511,25.16,29.8,16.04,17.55372665,10.00
512,25.16,29.8,16.04,23.42742835,10.00
513,25.16,29.8,35.01,18.32122168,10.00
514,25.16,29.8,35.01,14.15209927,10.00
515,25.16,29.8,35.01,20.90600535,10.00
516,25.16,29.8,35.01,24.91060227,10.00
517,25.16,29.8,35.01,16.45287652,10.00
518,25.16,29.8,35.01,15.71643889,10.00
519,25.16,29.8,35.01,23.53035342,10.00
520,25.16,29.8,35.01,18.90405498,10.00
521,25.16,29.8,35.01,20.20309267,10.00
522,25.16,29.8,35.01,14.75716754,10.00
523,25.16,29.8,35.01,28.33803035,10.00
524,25.16,29.8,35.01,14.04059171,10.00
525,25.16,29.8,35.01,5.029720877,10.00
526,25.16,29.8,35.01,14.60093843,10.00
527,25.16,29.8,35.01,19.39256049,10.00
528,25.16,14.6,16.04,10.70130205,10.00
529,25.16,14.6,16.04,9.58120554,10.00
530,25.16,14.6,16.04,14.29333691,10.00
531,25.16,14.6,16.04,9.193582936,10.00
532,25.16,14.6,16.04,20.11668508,10.00
533,25.16,14.6,16.04,19.62214328,10.00
534,25.16,14.6,16.04,19.02594581,10.00
535,25.16,14.6,16.04,13.69940482,10.00
536,25.16,14.6,16.04,9.585616933,10.00
537,25.16,14.6,16.04,9.065004978,10.00
538,25.16,14.6,16.04,16.65270114,10.00
539,25.16,14.6,16.04,22.06450319,10.00
540,25.16,14.6,16.04,23.1692266,10.00
541,25.16,14.6,16.04,30.51376286,10.00
542,25.16,29.8,35.01,29.31921198,10.00
543,25.16,29.8,35.01,27.02828298,10.00
544,25.16,29.8,35.01,22.57126082,10.00
545,25.16,29.8,35.01,18.31319035,10.00
546,25.16,29.8,35.01,29.83497957,10.00
547,25.16,29.8,35.01,28.23435763,10.00
548,25.16,29.8,35.01,22.99783411,10.00
549,25.16,29.8,35.01,28.78059736,10.00
550,25.16,29.8,35.01,17.10756312,10.00
551,25.16,29.8,35.01,23.46466866,10.00
552,25.16,29.8,35.01,21.70017945,10.00
553,25.16,29.8,35.01,21.46072105,10.00
554,25.16,29.8,35.01,21.45080934,10.00
555,25.16,29.8,16.04,17.561843,10.00
556,25.16,29.8,16.04,11.02473648,10.00
557,25.16,29.8,16.04,9.012808892,10.00
558,25.16,29.8,16.04,23.0433321,10.00
559,25.16,29.8,16.04,16.85459862,10.00
560,25.16,29.8,16.04,22.49436313,10.00
561,25.16,29.8,35.01,17.59152593,10.00
562,25.16,29.8,35.01,13.5884509,10.00
563,25.16,29.8,35.01,20.07336311,10.00
564,25.16,29.8,35.01,23.91846535,10.00
565,25.16,29.8,35.01,15.79759304,10.00
566,25.16,29.8,35.01,15.09048617,10.00
567,25.16,29.8,35.01,22.59318891,10.00
568,25.16,29.8,35.01,18.15114621,10.00
569,25.16,29.8,35.01,19.39844596,10.00
